date	fed-o	fed	type	level	status	comment
1612777534	0	0	5	9	0	Federate "Display" joins Federation "Node0"(1) with handle 2. Socket 7 - OK
1612777534	1	2	33	7	0	Publish Object Class = 3, # of att. = 2 - OK
1612777534	1	2	43	6	0	Register Object Class = 3 - OK
1612777534	1	2	37	7	0	Subscribe Object Class = 4, # of att. = 3 - OK
1612777534	1	2	9	8	0	ON at time 0.000000 - OK
1612777534	1	2	8	8	0	ON at time 0.100000 - OK
1612777534	1	2	15	8	0	Label "Init" ended - OK
1612777534	1	1	15	8	0	Label "Init" ended - OK
1612777835	1	1	43	6	0	Register Object Class = 4 - OK
1612777885	1	1	43	6	0	Register Object Class = 4 - OK
1612777885	1	1	49	6	0	Delete ObjID = 2 - OK
1612777885	1	1	49	6	0	Delete ObjID = 3 - OK
1612777885	1	1	9	8	0	OFF - OK
1612777885	1	1	8	8	0	OFF - OK
1612777885	1	1	49	10	19	Delete ObjID = 1 - Exception
1612777885	1	1	7	9	0	Federate 1 resign federation(1) - OK
1612777885	1	2	38	7	0	Unubscribe Object Class = 4, # of att. = 0 - OK
1612777885	1	2	38	7	0	Unubscribe Object Class = 4, # of att. = 0 - OK
1612777885	1	2	38	7	0	Unubscribe Object Class = 4, # of att. = 0 - OK
1612777885	1	2	34	7	0	Unpublish Object Class = 3, # of att. = 0 - OK
1612777885	0	0	4	10	33	< Display > - Exception
1612777885	1	2	34	7	0	Unpublish Object Class = 3, # of att. = 0 - OK
1612777885	1	2	49	6	0	Delete ObjID = 1 - OK
1612777885	1	2	49	10	63	Delete ObjID = 2Object <2> not found in map set. - Exception
1612777885	1	2	49	10	63	Delete ObjID = 3Object <3> not found in map set. - Exception
1612777885	1	2	8	8	0	OFF - OK
1612777885	1	2	7	9	0	Federate 2 resign federation(1) - OK
1612777885	0	0	1	9	0	Socket 7 - OK
1612777891	0	0	4	9	0	Federation Name "Node0" (1) destroyed - OK
1612777891	0	0	1	9	0	Socket 6 - OK
1612777993	0	0	3	9	0	Federation Name : Node0, Handle : 3 created - OK
1612777993	0	0	5	9	0	Federate "GEM5_CREATOR_FEDERATE" joins Federation "Node0"(3) with handle 1. Socket 6 - OK
1612777993	3	1	12	8	0	Label "Init" registered. Tag is "Waiting all players." - OK
1612777993	3	1	33	7	0	Publish Object Class = 4, # of att. = 4 - OK
1612777993	3	1	37	7	0	Subscribe Object Class = 3, # of att. = 3 - OK
1612777993	3	1	9	8	0	ON at time 0.000000 - OK
1612777993	3	1	8	8	0	ON at time 1.000000 - OK
1612778015	0	0	3	10	36	Federation Name : Node0, Handle : 4Node0 - Exception
1612778015	0	0	5	9	0	Federate "Display" joins Federation "Node0"(3) with handle 2. Socket 7 - OK
1612778015	3	2	33	7	0	Publish Object Class = 3, # of att. = 2 - OK
1612778015	3	2	43	6	0	Register Object Class = 3 - OK
1612778015	3	2	37	7	0	Subscribe Object Class = 4, # of att. = 3 - OK
1612778015	3	2	9	8	0	ON at time 0.000000 - OK
1612778015	3	2	8	8	0	ON at time 0.100000 - OK
1612778015	3	2	15	8	0	Label "Init" ended - OK
1612778015	3	1	15	8	0	Label "Init" ended - OK
1612778309	3	1	43	6	0	Register Object Class = 4 - OK
1612778356	3	1	43	6	0	Register Object Class = 4 - OK
1612778356	3	1	49	6	0	Delete ObjID = 2 - OK
1612778356	3	1	49	6	0	Delete ObjID = 3 - OK
1612778356	3	1	9	8	0	OFF - OK
1612778356	3	1	8	8	0	OFF - OK
1612778356	3	1	49	10	19	Delete ObjID = 1 - Exception
1612778356	3	1	7	9	0	Federate 1 resign federation(3) - OK
1612778356	0	0	4	10	33	< Display > - Exception
1612778356	3	2	38	7	0	Unubscribe Object Class = 4, # of att. = 0 - OK
1612778356	3	2	38	7	0	Unubscribe Object Class = 4, # of att. = 0 - OK
1612778356	3	2	38	7	0	Unubscribe Object Class = 4, # of att. = 0 - OK
1612778356	3	2	34	7	0	Unpublish Object Class = 3, # of att. = 0 - OK
1612778356	3	2	34	7	0	Unpublish Object Class = 3, # of att. = 0 - OK
1612778356	3	2	49	6	0	Delete ObjID = 1 - OK
1612778356	3	2	49	10	63	Delete ObjID = 2Object <2> not found in map set. - Exception
1612778356	3	2	49	10	63	Delete ObjID = 3Object <3> not found in map set. - Exception
1612778356	3	2	8	8	0	OFF - OK
1612778356	3	2	7	9	0	Federate 2 resign federation(3) - OK
1612778356	0	0	1	9	0	Socket 7 - OK
1612778361	0	0	4	9	0	Federation Name "Node0" (3) destroyed - OK
1612778361	0	0	1	9	0	Socket 6 - OK
date	fed-o	fed	type	level	status	comment
1615213138	0	0	128	10	0	
1615213306	0	0	3	9	0	Federation Name : GLOBAL_SYNCHRONIZATION, Handle : 1 created - OK
1615213306	0	0	5	9	0	Federate "SYNCH_OMNET" joins Federation "GLOBAL_SYNCHRONIZATION"(1) with handle 1. Socket 6 - OK
1615213306	1	1	12	8	0	Label "Init" registered. Tag is "Waiting all federations." - OK
1615213306	1	1	39	7	0	Subscribe Interaction Class = 3 - OK
1615213306	1	1	35	7	0	Publish Interaction Class = 4 - OK
1615213306	1	1	9	8	0	ON at time 0.000000 - OK
1615213306	1	1	8	8	0	ON at time 1.000000 - OK
1615213307	0	0	3	9	0	Federation Name : COSSIM_PROC_NET_NODE0, Handle : 2 created - OK
1615213307	0	0	5	9	0	Federate "OMNET" joins Federation "COSSIM_PROC_NET_NODE0"(2) with handle 1. Socket 7 - OK
1615213307	2	1	12	8	0	Label "Init" registered. Tag is "Waiting all federations." - OK
1615213307	2	1	39	7	0	Subscribe Interaction Class = 3 - OK
1615213307	2	1	35	7	0	Publish Interaction Class = 4 - OK
1615213308	0	0	3	10	36	Federation Name : COSSIM_PROC_NET_NODE0, Handle : 3COSSIM_PROC_NET_NODE0 - Exception
1615213308	0	0	5	9	0	Federate "GEM5" joins Federation "COSSIM_PROC_NET_NODE0"(2) with handle 2. Socket 8 - OK
1615213308	2	2	35	7	0	Publish Interaction Class = 3 - OK
1615213308	2	2	39	7	0	Subscribe Interaction Class = 4 - OK
1615213308	2	2	15	8	0	Label "Init" ended - OK
1615213308	2	1	15	8	0	Label "Init" ended - OK
1615213308	0	0	3	9	0	Federation Name : COSSIM_PROC_NET_NODE1, Handle : 4 created - OK
1615213308	0	0	5	9	0	Federate "OMNET" joins Federation "COSSIM_PROC_NET_NODE1"(4) with handle 1. Socket 12 - OK
1615213308	4	1	12	8	0	Label "Init" registered. Tag is "Waiting all federations." - OK
1615213308	4	1	39	7	0	Subscribe Interaction Class = 3 - OK
1615213308	4	1	35	7	0	Publish Interaction Class = 4 - OK
1615213308	0	0	3	10	36	Federation Name : COSSIM_PROC_NET_NODE1, Handle : 5COSSIM_PROC_NET_NODE1 - Exception
1615213308	0	0	5	9	0	Federate "GEM5" joins Federation "COSSIM_PROC_NET_NODE1"(4) with handle 2. Socket 10 - OK
1615213308	4	2	35	7	0	Publish Interaction Class = 3 - OK
1615213308	4	2	39	7	0	Subscribe Interaction Class = 4 - OK
1615213308	0	0	3	10	36	Federation Name : GLOBAL_SYNCHRONIZATION, Handle : 6GLOBAL_SYNCHRONIZATION - Exception
1615213308	0	0	5	9	0	Federate "GEM5_NODE0" joins Federation "GLOBAL_SYNCHRONIZATION"(1) with handle 2. Socket 13 - OK
1615213308	1	2	35	7	0	Publish Interaction Class = 3 - OK
1615213308	1	2	39	7	0	Subscribe Interaction Class = 4 - OK
1615213308	1	2	9	8	0	ON at time 0.000000 - OK
1615213308	1	2	8	8	0	ON at time 1.000000 - OK
1615213308	4	2	15	8	0	Label "Init" ended - OK
1615213308	4	1	15	8	0	Label "Init" ended - OK
1615213308	1	2	15	8	0	Label "Init" ended - OK
1615213309	0	0	3	10	36	Federation Name : GLOBAL_SYNCHRONIZATION, Handle : 7GLOBAL_SYNCHRONIZATION - Exception
1615213309	0	0	5	9	0	Federate "GEM5_NODE1" joins Federation "GLOBAL_SYNCHRONIZATION"(1) with handle 3. Socket 14 - OK
1615213309	1	3	35	7	0	Publish Interaction Class = 3 - OK
1615213309	1	3	39	7	0	Subscribe Interaction Class = 4 - OK
1615213309	1	3	9	8	0	ON at time 0.000000 - OK
1615213309	1	3	8	8	0	ON at time 1.000000 - OK
1615213309	1	3	15	8	0	Label "Init" ended - OK
1615213309	0	0	3	9	0	Federation Name : COSSIM_PROC_NET_NODE2, Handle : 8 created - OK
1615213309	0	0	5	9	0	Federate "OMNET" joins Federation "COSSIM_PROC_NET_NODE2"(8) with handle 1. Socket 15 - OK
1615213309	8	1	12	8	0	Label "Init" registered. Tag is "Waiting all federations." - OK
1615213309	8	1	39	7	0	Subscribe Interaction Class = 3 - OK
1615213309	8	1	35	7	0	Publish Interaction Class = 4 - OK
1615213309	0	0	3	10	36	Federation Name : COSSIM_PROC_NET_NODE2, Handle : 9COSSIM_PROC_NET_NODE2 - Exception
1615213309	0	0	5	9	0	Federate "GEM5" joins Federation "COSSIM_PROC_NET_NODE2"(8) with handle 2. Socket 9 - OK
1615213309	8	2	35	7	0	Publish Interaction Class = 3 - OK
1615213309	8	2	39	7	0	Subscribe Interaction Class = 4 - OK
1615213309	8	2	15	8	0	Label "Init" ended - OK
1615213309	8	1	15	8	0	Label "Init" ended - OK
1615213309	0	0	3	9	0	Federation Name : COSSIM_PROC_NET_NODE3, Handle : 10 created - OK
1615213309	0	0	5	9	0	Federate "OMNET" joins Federation "COSSIM_PROC_NET_NODE3"(10) with handle 1. Socket 16 - OK
1615213309	10	1	12	8	0	Label "Init" registered. Tag is "Waiting all federations." - OK
